@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 105\nSize of the tree: 209\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 101\nSize of the tree: 201\n','Number of leaves: 107\nSize of the tree: 213\n','Number of leaves: 104\nSize of the tree: 207\n','Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 102\nSize of the tree: 203\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 109\nSize of the tree: 217\n','Number of leaves: 106\nSize of the tree: 211\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 108\nSize of the tree: 215\n','Number of leaves: 103\nSize of the tree: 205\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 84\nSize of the tree: 167\n','Number of leaves: 83\nSize of the tree: 165\n','Number of leaves: 87\nSize of the tree: 173\n','Number of leaves: 111\nSize of the tree: 221\n','Number of leaves: 86\nSize of the tree: 171\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

vowel,2,10,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,79,20,0,79.79798,20.20202,0,0.777778,0.099018,0.203693,59.905921,70.85464,342.48373,163.716776,178.766954,3.459432,1.653705,1.805727,198.63104,2.006374,57.997219,0.888889,8,0,0,1,90,0.111111,1,1,0.888889,0.941176,0.937614,0.97716,0.920139,0.79798,0.020202,0.979798,0.20202,0.798367,0.79798,0.795262,0.776886,0.906397,0.736166,0.795262,0.79798,0.026,0.001,0.03,0,30,0,75170,128107,16435,100,91.827365,'Number of leaves: 100\nSize of the tree: 199\n',199,100,100
vowel,3,1,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,83,16,0,83.838384,16.161616,0,0.822222,0.094728,0.195325,57.310652,67.944017,342.48373,148.1883,194.29543,3.459432,1.496852,1.96258,207.807929,2.09907,60.67673,1,9,0.011111,1,0.988889,89,0,0,0.9,1,0.947368,0.943398,0.999383,0.988889,0.838384,0.016162,0.983838,0.161616,0.840801,0.838384,0.835193,0.821768,0.932267,0.775653,0.835193,0.838384,0.035,0.001,0.03,0,30,0,78750,128107,16435,98.989899,90.725436,'Number of leaves: 105\nSize of the tree: 209\n',209,105,105
vowel,3,2,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,80,19,0,80.808081,19.191919,0,0.788889,0.097072,0.201283,58.72849,70.016291,342.48373,152.609414,189.874316,3.459432,1.541509,1.917922,200.712282,2.027397,58.60491,1,9,0.055556,5,0.944444,85,0,0,0.642857,1,0.782609,0.779194,0.967284,0.604619,0.808081,0.019192,0.980808,0.191919,0.823088,0.808081,0.803446,0.791647,0.939394,0.747192,0.803446,0.808081,0.03,0.002,0.03,0,30,0,78034,128107,16435,100,90.541781,'Number of leaves: 104\nSize of the tree: 207\n',207,104,104
vowel,3,3,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,80,19,0,80.808081,19.191919,0,0.788889,0.095203,0.194651,57.59782,67.709503,342.48373,151.96733,190.5164,3.459432,1.535024,1.924408,206.425073,2.085102,60.272957,1,9,0,0,1,90,0,0,1,1,1,1,1,1,0.808081,0.019192,0.980808,0.191919,0.819221,0.808081,0.806909,0.791834,0.92413,0.755846,0.806909,0.808081,0.032,0.001,0.03,0,30,0,75170,128107,16435,100,92.011019,'Number of leaves: 100\nSize of the tree: 199\n',199,100,100
vowel,3,4,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,76,23,0,76.767677,23.232323,0,0.744444,0.102765,0.206759,62.172734,71.921238,342.48373,165.417891,177.06584,3.459432,1.670888,1.788544,190.139563,1.920602,55.517838,1,9,0,0,1,90,0,0,1,1,1,1,1,1,0.767677,0.023232,0.976768,0.232323,0.762236,0.767677,0.758326,0.739321,0.914815,0.728218,0.758326,0.767677,0.029,0.001,0.03,0,30,0,73738,128107,16435,100,91.64371,'Number of leaves: 98\nSize of the tree: 195\n',195,98,98
vowel,3,5,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,78,21,0,78.787879,21.212121,0,0.766667,0.098408,0.20544,59.536843,71.462576,342.48373,161.375381,181.108349,3.459432,1.630054,1.829377,197.335289,1.993286,57.61888,0.888889,8,0,0,1,90,0.111111,1,1,0.888889,0.941176,0.937614,0.964198,0.912145,0.787879,0.021212,0.978788,0.212121,0.814141,0.787879,0.780866,0.771935,0.918743,0.739908,0.780866,0.787879,0.025,0.001,0.02,0,20,0,66578,128107,16435,100,91.184573,'Number of leaves: 88\nSize of the tree: 175\n',175,88,88
vowel,3,6,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,75,24,0,75.757576,24.242424,0,0.733333,0.093461,0.193235,56.54414,67.216861,342.48373,152.317522,190.166208,3.459432,1.538561,1.920871,201.726348,2.03764,58.901002,0.888889,8,0,0,1,90,0.111111,1,1,0.888889,0.941176,0.937614,0.995062,0.947712,0.757576,0.024242,0.975758,0.242424,0.783261,0.757576,0.760835,0.74261,0.944276,0.784826,0.760835,0.757576,0.035,0,0.02,0.01,20,10,73738,128107,16435,100,92.011019,'Number of leaves: 98\nSize of the tree: 195\n',195,98,98
vowel,3,7,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,79,20,0,79.79798,20.20202,0,0.777778,0.094355,0.1939,57.08466,67.448107,342.48373,148.126084,194.357646,3.459432,1.496223,1.963209,205.758018,2.078364,60.078188,1,9,0.011111,1,0.988889,89,0,0,0.9,1,0.947368,0.943398,0.997531,0.964198,0.79798,0.020202,0.979798,0.20202,0.839161,0.79798,0.794174,0.788334,0.943939,0.788907,0.794174,0.79798,0.033,0.001,0.03,0,30,0,69442,128107,16435,98.989899,91.092746,'Number of leaves: 92\nSize of the tree: 183\n',183,92,92
vowel,3,8,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,88,11,0,88.888889,11.111111,0,0.877778,0.09116,0.183756,55.151684,63.919716,342.48373,134.952418,207.531312,3.459432,1.363156,2.096276,221.254848,2.234897,64.603024,1,9,0,0,1,90,0,0,1,1,1,1,1,1,0.888889,0.011111,0.988889,0.111111,0.899242,0.888889,0.8899,0.881327,0.931201,0.817424,0.8899,0.888889,0.036,0.001,0.04,0,40,0,69442,128107,16435,98.989899,91.000918,'Number of leaves: 92\nSize of the tree: 183\n',183,92,92
vowel,3,9,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0103,891,99,75,24,0,75.757576,24.242424,0,0.733333,0.103423,0.212207,62.570998,73.816414,342.48373,170.099671,172.384059,3.459432,1.718178,1.741253,187.389289,1.892821,54.7148,0.888889,8,0.011111,1,0.988889,89,0.111111,1,0.888889,0.888889,0.888889,0.877778,0.907407,0.824074,0.757576,0.024242,0.975758,0.242424,0.775397,0.757576,0.760507,0.739932,0.921156,0.707316,0.760507,0.757576,0.034,0,0.04,0,40,0,72306,128107,16435,98.989899,91.460055,'Number of leaves: 96\nSize of the tree: 191\n',191,96,96
