@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 18\nSize of the tree: 35\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

ionosphere,2,10,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,28,7,0,80,20,0,0.527938,0.216918,0.4044,47.51615,85.130467,32.502297,27.462947,5.03935,0.928637,0.784656,0.143981,16.893928,0.482684,51.977643,0.583333,7,0.086957,2,0.913043,21,0.416667,5,0.777778,0.583333,0.666667,0.539086,0.811594,0.776168,0.8,0.303623,0.696377,0.2,0.797436,0.8,0.791837,0.539086,0.811594,0.822531,0.761905,0.8,0.013,0,0.01,0,10,0,8170,100232,13403,97.142857,77.142857,'Number of leaves: 12\nSize of the tree: 23\n',23,12,12
ionosphere,3,1,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,315,36,32,4,0,88.888889,11.111111,0,0.759197,0.135,0.306411,29.283887,63.792439,33.969909,15.528276,18.441633,0.943609,0.431341,0.512268,24.205535,0.672376,71.255814,0.846154,11,0.086957,2,0.913043,21,0.153846,2,0.846154,0.846154,0.846154,0.759197,0.964883,0.93261,0.888889,0.129692,0.870308,0.111111,0.888889,0.888889,0.888889,0.759197,0.964883,0.96003,0.879599,0.888889,0.009,0,0,0.01,0,10,8882,99923,13712,100,62.5,'Number of leaves: 14\nSize of the tree: 27\n',27,14,14
ionosphere,3,2,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,33,2,0,94.285714,5.714286,0,0.878049,0.112559,0.226228,24.656261,47.623313,32.502297,9.371398,23.130899,0.928637,0.267754,0.660883,25.286309,0.722466,77.79853,1,12,0.086957,2,0.913043,21,0,0,0.857143,1,0.923077,0.884652,0.985507,0.962454,0.942857,0.029814,0.970186,0.057143,0.95102,0.942857,0.943756,0.884652,0.985507,0.980534,0.938811,0.942857,0.008,0,0,0,0,0,8170,100232,13403,100,77.142857,'Number of leaves: 12\nSize of the tree: 23\n',23,12,12
ionosphere,3,3,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,28,7,0,80,20,0,0.581197,0.214413,0.414469,46.967446,87.250011,32.502297,29.274762,3.227535,0.928637,0.836422,0.092215,16.990857,0.485453,52.275867,0.833333,10,0.217391,5,0.782609,18,0.166667,2,0.666667,0.833333,0.740741,0.590791,0.880435,0.75172,0.8,0.184058,0.815942,0.2,0.82,0.8,0.804134,0.590791,0.880435,0.854988,0.788975,0.8,0.01,0,0.01,0,10,0,8170,100232,13403,88.571429,57.142857,'Number of leaves: 12\nSize of the tree: 23\n',23,12,12
ionosphere,3,4,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,29,6,0,82.857143,17.142857,0,0.586614,0.18092,0.366826,39.630746,77.220762,32.502297,23.946872,8.555425,0.928637,0.684196,0.244441,19.47708,0.556488,59.925242,0.583333,7,0.043478,1,0.956522,22,0.416667,5,0.875,0.583333,0.7,0.610246,0.815217,0.771693,0.828571,0.288716,0.711284,0.171429,0.83545,0.828571,0.818286,0.610246,0.815217,0.816226,0.79,0.828571,0.008,0,0.01,0,10,0,8170,100232,13403,88.571429,55.714286,'Number of leaves: 12\nSize of the tree: 23\n',23,12,12
ionosphere,3,5,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,34,1,0,97.142857,2.857143,0,0.937833,0.075115,0.162621,16.454131,34.233347,32.502297,5.367291,27.135006,0.928637,0.153351,0.775286,27.868063,0.79623,85.741826,1,12,0.043478,1,0.956522,22,0,0,0.923077,1,0.96,0.939651,1,1,0.971429,0.014907,0.985093,0.028571,0.973626,0.971429,0.971683,0.939651,1,1,0.968889,0.971429,0.009,0.001,0.01,0,10,0,9594,100232,13403,100,64.285714,'Number of leaves: 16\nSize of the tree: 31\n',31,16,16
ionosphere,3,6,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,30,5,0,85.714286,14.285714,0,0.667932,0.161482,0.355938,34.831287,73.638327,33.329976,24.939083,8.390893,0.952285,0.712545,0.23974,21.780621,0.622303,65.348447,0.615385,8,0,0,1,22,0.384615,5,1,0.615385,0.761905,0.708113,0.877622,0.848998,0.857143,0.241758,0.758242,0.142857,0.883598,0.857143,0.847425,0.708113,0.877622,0.865867,0.829932,0.857143,0.01,0,0.01,0,10,0,8526,100232,13403,88.571429,57.142857,'Number of leaves: 13\nSize of the tree: 25\n',25,13,13
ionosphere,3,7,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,33,2,0,94.285714,5.714286,0,0.873646,0.089417,0.239623,19.287113,49.57444,33.329976,13.10049,20.229486,0.952285,0.3743,0.577985,27.390574,0.782588,82.179999,0.846154,11,0,0,1,22,0.153846,2,1,0.846154,0.916667,0.880705,0.905594,0.903297,0.942857,0.096703,0.903297,0.057143,0.947619,0.942857,0.941718,0.880705,0.905594,0.901049,0.936594,0.942857,0.009,0,0.01,0,10,0,8526,100232,13403,94.285714,57.142857,'Number of leaves: 13\nSize of the tree: 25\n',25,13,13
ionosphere,3,8,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,31,4,0,88.571429,11.428571,0,0.762712,0.126126,0.289239,27.205166,59.839196,33.329976,12.878376,20.451599,0.952285,0.367954,0.584331,24.304446,0.694413,72.920683,0.923077,12,0.136364,3,0.863636,19,0.076923,1,0.8,0.923077,0.857143,0.768137,0.986014,0.974588,0.885714,0.099001,0.900999,0.114286,0.894286,0.885714,0.887075,0.768137,0.986014,0.984439,0.880952,0.885714,0.009,0,0.01,0,10,0,8882,100232,13403,100,65.714286,'Number of leaves: 14\nSize of the tree: 27\n',27,14,14
ionosphere,3,9,weka.classifiers.trees.J48,'-O -S -C 0.15 -B -M 2 -A -do-not-check-capabilities -num-decimal-places 4 -batch-size 256',-217733168393644444,20191004.0134,316,35,34,1,0,97.142857,2.857143,0,0.937833,0.075646,0.175401,16.316567,36.287826,33.329976,7.320336,26.00964,0.952285,0.209152,0.743133,28.71313,0.820375,86.148068,0.923077,12,0,0,1,22,0.076923,1,1,0.923077,0.96,0.939651,0.95979,0.951648,0.971429,0.048352,0.951648,0.028571,0.972671,0.971429,0.971175,0.939651,0.95979,0.953526,0.968889,0.971429,0.01,0,0.01,0,10,0,8170,100232,13403,97.142857,61.428571,'Number of leaves: 12\nSize of the tree: 23\n',23,12,12
